year,book,ann_return_net,ann_vol_net,sharpe_net,max_drawdown_net,n_days
2011,long_short,-0.00540895410779596,0.15543804530037908,0.04279276146252265,-0.19443009510799336,260
2011,long_only,0.19632521165056915,0.19310828676125275,1.0251877036295654,-0.11955115280128625,260
2011,benchmark_ew,0.18928897238044318,0.16270345699112335,1.1472378306070858,-0.09272223444813044,260
2012,long_short,0.13703137471476223,0.14714798200223186,0.9464838872166673,-0.1178561664462412,261
2012,long_only,-0.06760752686267324,0.1942299714706369,-0.26317615743585726,-0.18496621478847675,261
2012,benchmark_ew,-0.10921494607304882,0.17431956232194765,-0.5760968748476248,-0.25671871875639707,261
2013,long_short,-0.14649900755428136,0.15695411571115356,-0.9302797962586803,-0.2347717151649258,261
2013,long_only,0.012032331777150684,0.19725024625161067,0.15922142456728755,-0.16646554628429733,261
2013,benchmark_ew,0.06745562838818575,0.16283687267950017,0.48248573261853095,-0.15555810701240302,261
2014,long_short,0.2200884235604581,0.1635424679908722,1.2984224339674286,-0.12340369664013928,261
2014,long_only,0.1449467465762242,0.21814428132125538,0.7296201435263696,-0.23143887874125524,261
2014,benchmark_ew,0.14011523350553134,0.1718916650501287,0.8489286899566753,-0.14492801046058423,261
2015,long_short,-0.06320037152198954,0.1690425185255277,-0.3015676334380426,-0.15165585629245282,208
2015,long_only,0.28363594278289783,0.2120648123848613,1.2841190424220519,-0.083862270556058,208
2015,benchmark_ew,0.25241774765084757,0.17251313250607114,1.391518570616642,-0.07403516731248794,208
