book,avg_one_way_per_rebalance,avg_two_way_per_rebalance
benchmark_ew,0.048591154601722204,0.09718230920344441
decile_1,0.21555781514930328,0.43111563029860656
decile_10,0.3083702063021847,0.6167404126043694
decile_2,0.4657234613796006,0.9314469227592012
decile_3,0.5532335706833713,1.1064671413667426
decile_4,0.5998915651956243,1.1997831303912485
decile_5,0.6547663590987298,1.3095327181974596
decile_6,0.6477579613882168,1.2955159227764337
decile_7,0.6548477928756109,1.3096955857512218
decile_8,0.6278074052875018,1.2556148105750036
decile_9,0.5709793796206413,1.1419587592412825
long_only,0.3083702063021847,0.6167404126043694
long_short,0.5427659324684737,1.0855318649369474
