regime,book,ann_return_net,ann_vol_net,sharpe_net
2010-12-31 to 2014-08-12,long_short,0.12556638747791804,0.0801719763953445,1.5158198563994478
2010-12-31 to 2014-08-12,long_only,0.18723881883325744,0.17176054674758842,1.0854812845717223
2010-12-31 to 2014-08-12,benchmark_ew,0.0756956326486784,0.16179326064802785,0.5319971298387526
2014-08-13 to 2018-03-23,long_short,0.11310678309407929,0.07525019832389215,1.4618829523231005
2014-08-13 to 2018-03-23,long_only,0.07749589362283182,0.1704082608716499,0.5232653696520444
2014-08-13 to 2018-03-23,benchmark_ew,0.007407961493504978,0.16333008820593992,0.1268512992462896
2018-03-26 to 2021-11-03,long_short,0.18283567683810165,0.07523183000297813,2.2702920957830237
2018-03-26 to 2021-11-03,long_only,0.4315249327896218,0.17685762187886114,2.118188957298212
2018-03-26 to 2021-11-03,benchmark_ew,0.27465802675922424,0.16551439408599322,1.5495901942114707
2021-11-04 to 2025-06-16,long_short,0.08227110718359465,0.07745514163119176,1.059622706679312
2021-11-04 to 2025-06-16,long_only,0.18824912049638898,0.16872608944318623,1.106807435125381
2021-11-04 to 2025-06-16,benchmark_ew,0.13705294827277803,0.15867402283099305,0.8888793887653199
