year,book,ann_return_net,ann_vol_net,sharpe_net,max_drawdown_net,n_days
2011,long_short,0.13757069583607606,0.08136481379017536,1.6252298528157076,-0.07284416565615781,260
2011,long_only,0.32865228833543125,0.176877040158519,1.6959990948483237,-0.09923853994368736,260
2011,benchmark_ew,0.1927787382452546,0.16435605104243362,1.1551943003662848,-0.10988077666217066,260
2012,long_short,0.11462019635214049,0.07960752802931347,1.403169524987481,-0.032947986184134415,261
2012,long_only,-0.020910462277626163,0.16869756309073744,-0.04082042731059235,-0.19925246743795033,261
2012,benchmark_ew,-0.09381336292355524,0.160977403777892,-0.531273498464631,-0.24463488864944138,261
2013,long_short,0.10390021834653385,0.08091417309619771,1.262349700655846,-0.08066612231462722,261
2013,long_only,0.15970765220478267,0.16128892943594705,0.9996481843297116,-0.16605606426365238,261
2013,benchmark_ew,0.07798198640150233,0.15925047362897016,0.5513504909918691,-0.15988149487998737,261
2014,long_short,0.2066825107618171,0.07902720765464806,2.4176931976149842,-0.04583399745288652,261
2014,long_only,0.3323954332543553,0.1827058577693064,1.6628379349675495,-0.1277503200804221,261
2014,benchmark_ew,0.15899764067542077,0.1647176520596496,0.9783618865648486,-0.145020431357908,261
2015,long_short,0.19925608485255508,0.07323288317097547,2.518622337411708,-0.04175940875299766,261
2015,long_only,0.2794121293633749,0.18865023883830426,1.4010472269058936,-0.10268452908138193,261
2015,benchmark_ew,0.13917811806169045,0.17503988415701416,0.8321766935007402,-0.12481017349376977,261
2016,long_short,0.019395058123983233,0.08029772630640686,0.2793833270874308,-0.06521269399356544,261
2016,long_only,-0.035361215817229064,0.16303783481640954,-0.13932898312483824,-0.13482706416281287,261
2016,benchmark_ew,-0.12007691288646749,0.1596817437728095,-0.7210949316153868,-0.17765293674230687,261
2017,long_short,0.07098119021340721,0.07281207914965233,0.978318934351308,-0.02876252871242524,260
2017,long_only,-0.16334874342570183,0.1569424666682425,-1.0574206776600683,-0.25057165890264566,260
2017,benchmark_ew,-0.13488621516749677,0.15513863647886483,-0.8560654036071979,-0.2425395195292822,260
2018,long_short,0.1679504313599658,0.06564447238338302,2.398551950661794,-0.04419289035853813,261
2018,long_only,0.603384753009419,0.17034061432663092,2.8592421349783343,-0.08241695894189138,261
2018,benchmark_ew,0.4512781362401095,0.1647949254876405,2.3439647684027265,-0.0939950652124395,261
2019,long_short,0.11040415357886557,0.07384265048715664,1.4553706749093747,-0.07111269552712196,261
2019,long_only,0.40334475861510954,0.17779659822569285,1.9960687746944477,-0.15513571064974074,261
2019,benchmark_ew,0.2932707184708312,0.16753015459029286,1.619617937879441,-0.1898781775217181,261
2020,long_short,0.16385778729906653,0.07888911840736058,1.9634885330760876,-0.08060322706978551,262
2020,long_only,0.43368100066074655,0.17865089927378827,2.107128568208198,-0.08525339335420357,262
2020,benchmark_ew,0.2565946272622479,0.1632521367280792,1.4812690889072389,-0.0861428040732094,262
2021,long_short,0.20270473089772945,0.08096878220982433,2.320828752659819,-0.05688701046078093,261
2021,long_only,0.4673469806223485,0.16973030790348861,2.345613208332007,-0.06691184284349516,261
2021,benchmark_ew,0.30685712093331063,0.15783541225929346,1.7753210797435608,-0.06798743000195429,261
2022,long_short,0.16320979705989913,0.079816821325026,1.9346173407237561,-0.05250092933397821,260
2022,long_only,0.08070013386934116,0.16095911439567467,0.562616181787569,-0.1412565513504026,260
2022,benchmark_ew,0.05252054665463057,0.15353942935687676,0.41012136353489714,-0.15116630347958726,260
2023,long_short,0.1001996531500744,0.07774070304499449,1.267439124732133,-0.07404058909045841,260
2023,long_only,0.5182716139468209,0.16909670307009483,2.555877282318812,-0.055469851384204905,260
2023,benchmark_ew,0.44507824125368756,0.1629356375292003,2.3425901001243576,-0.073033076945486,260
2024,long_short,0.027999764769401025,0.07419686312215922,0.40927874385720525,-0.05642585185274229,262
2024,long_only,-0.022776856171607518,0.18330343344881603,-0.034300837600842946,-0.16234586260918982,262
2024,benchmark_ew,-0.07928360355625264,0.16515812638910146,-0.4177011372574961,-0.1827666296196998,262
2025,long_short,0.10053153800242409,0.07309654426271528,1.347278117846268,-0.035462085030122714,119
2025,long_only,0.12341413924440947,0.1526901004563509,0.8385542819417514,-0.07675343094111853,119
2025,benchmark_ew,0.026702954252890487,0.14857830031406374,0.2515610188539581,-0.0792125897130308,119
