book,avg_one_way_per_rebalance,avg_two_way_per_rebalance
benchmark_ew,0.04560260606517428,0.09120521213034856
decile_1,0.22422204917661914,0.4484440983532383
decile_10,0.250803588408397,0.501607176816794
decile_2,0.4597577720762476,0.9195155441524951
decile_3,0.5641431848894755,1.128286369778951
decile_4,0.6276163562106273,1.2552327124212546
decile_5,0.6471483210974572,1.2942966421949145
decile_6,0.6571002381287802,1.3142004762575603
decile_7,0.652931194080321,1.305862388160642
decile_8,0.6114184530462242,1.2228369060924484
decile_9,0.5099859824742238,1.0199719649484476
long_only,0.250803588408397,0.501607176816794
long_short,0.48667435943509774,0.9733487188701955
